Phrenic activation, Abdominal activation, %VC/s, %VC, Pressure (cmH20), timestep, lma (0-1), Pab, Pdi, PL, Pressure-PL
0.5,0.065337,-8.0048,16.8701,-0.55234,0.0275,0.550671,2.18892,7.24836,4.5071,-5.05944
0.5,0.065337,-8.11668,16.8742,-0.555981,0.028,0.557044,2.20981,7.27397,4.50818,-5.06416
0.5,0.065337,-8.22677,16.8783,-0.559636,0.0285,0.563327,2.23047,7.29939,4.50928,-5.06892
0.5,0.065337,-8.33514,16.8825,-0.563305,0.029,0.569521,2.25091,7.32461,4.51039,-5.0737
0.5,0.065337,-8.44187,16.8867,-0.566987,0.0295,0.575627,2.27114,7.34964,4.51152,-5.07851
0.5,0.065337,-8.54701,16.891,-0.570682,0.03,0.581647,2.29115,7.37449,4.51266,-5.08334
0.5,0.065337,-8.65063,16.8953,-0.574389,0.0305,0.587581,2.31096,7.39916,4.51381,-5.0882
0.5,0.065337,-8.75281,16.8997,-0.578108,0.031,0.59343,2.33056,7.42365,4.51498,-5.09309
0.5,0.065337,-8.85358,16.9041,-0.58184,0.0315,0.599197,2.34997,7.44797,4.51616,-5.098
0.5,0.065337,-8.95301,16.9085,-0.585583,0.032,0.604882,2.36918,7.47212,4.51736,-5.10294
0.5,0.065337,-9.05117,16.9131,-0.589339,0.0325,0.610487,2.3882,7.4961,4.51857,-5.10791
0.5,0.065337,-9.14807,16.9176,-0.593105,0.033,0.616012,2.40703,7.51992,4.51979,-5.11289
0.5,0.065337,-9.24377,16.9223,-0.596882,0.0335,0.621458,2.42568,7.54358,4.52102,-5.1179
0.5,0.065337,-9.33833,16.9269,-0.600671,0.034,0.626827,2.44415,7.56709,4.52227,-5.12294
0.5,0.065337,-9.43178,16.9316,-0.604471,0.0345,0.632121,2.46245,7.59045,4.52353,-5.128
0.5,0.065337,-9.52416,16.9364,-0.608282,0.035,0.637339,2.48057,7.61365,4.5248,-5.13308
0.5,0.065337,-9.61552,16.9412,-0.612104,0.0355,0.642483,2.49852,7.63671,4.52608,-5.13818
0.5,0.065337,-9.70589,16.946,-0.615936,0.036,0.647554,2.51631,7.65962,4.52738,-5.14331
0.5,0.065337,-9.7953,16.9509,-0.619779,0.0365,0.652553,2.53393,7.6824,4.52868,-5.14846
0.5,0.065337,-9.8838,16.9559,-0.623634,0.037,0.657481,2.5514,7.70503,4.53,-5.15364
0.5,0.065337,-9.97141,16.9609,-0.627496,0.0375,0.662339,2.5687,7.72753,4.53133,-5.15883
0.5,0.065337,-10.0582,16.9659,-0.631364,0.038,0.667129,2.58585,7.74989,4.53268,-5.16404
0.5,0.065337,-10.1441,16.9709,-0.635236,0.0385,0.67185,2.60285,7.77212,4.53403,-5.16927
0.5,0.065337,-10.2293,16.9761,-0.639113,0.039,0.676505,2.6197,7.79421,4.5354,-5.17451
0.5,0.065337,-10.3137,16.9812,-0.642995,0.0395,0.681093,2.6364,7.81617,4.53677,-5.17977
0.5,0.065337,-10.3974,16.9864,-0.646882,0.04,0.685617,2.65296,7.838,4.53816,-5.18504
0.5,0.065337,-10.4804,16.9916,-0.650773,0.0405,0.690076,2.66937,7.8597,4.53956,-5.19033
0.5,0.065337,-10.5627,16.9969,-0.654669,0.041,0.694472,2.68564,7.88128,4.54097,-5.19564
0.5,0.065337,-10.6443,17.0022,-0.65857,0.0415,0.698806,2.70177,7.90273,4.54239,-5.20096
0.5,0.065337,-10.7253,17.0076,-0.662476,0.042,0.703078,2.71777,7.92407,4.54382,-5.2063
0.5,0.065337,-10.8057,17.013,-0.666387,0.0425,0.70729,2.73363,7.94528,4.54526,-5.21165
0.5,0.065337,-10.8855,17.0184,-0.670303,0.043,0.711441,2.74937,7.96638,4.54672,-5.21702
0.5,0.065337,-10.9647,17.0239,-0.674224,0.0435,0.715534,2.76497,7.98737,4.54818,-5.2224
0.5,0.065337,-11.0433,17.0294,-0.67815,0.044,0.719569,2.78044,8.00824,4.54965,-5.2278
0.5,0.065337,-11.1214,17.035,-0.682081,0.0445,0.723547,2.79579,8.02901,4.55114,-5.23322
0.5,0.065337,-11.1989,17.0406,-0.686017,0.045,0.727468,2.81101,8.04966,4.55263,-5.23865
0.5,0.065337,-11.276,17.0462,-0.689958,0.0455,0.731334,2.82611,8.07021,4.55414,-5.24409
0.5,0.065337,-11.3525,17.0519,-0.693905,0.046,0.735145,2.84109,8.09065,4.55565,-5.24956
0.5,0.065337,-11.4286,17.0576,-0.697856,0.0465,0.738901,2.85595,8.11098,4.55718,-5.25503
0.5,0.065337,-11.5041,17.0633,-0.701813,0.047,0.742605,2.87069,8.13122,4.55871,-5.26053
0.5,0.065337,-11.5793,17.0691,-0.705775,0.0475,0.746256,2.88532,8.15135,4.56026,-5.26603
0.5,0.065337,-11.654,17.0749,-0.709742,0.048,0.749855,2.89983,8.17139,4.56181,-5.27156
0.5,0.065337,-11.7282,17.0808,-0.713714,0.0485,0.753403,2.91423,8.19132,4.56338,-5.27709
0.5,0.065337,-11.802,17.0867,-0.717692,0.049,0.756901,2.92852,8.21117,4.56495,-5.28265
0.5,0.065337,-11.8755,17.0926,-0.721674,0.0495,0.760349,2.9427,8.23091,4.56654,-5.28821
0.5,0.065337,-11.9485,17.0986,-0.725663,0.05,0.763748,2.95677,8.25057,4.56813,-5.2938
0.5,0.065337,-12.0211,17.1046,-0.729656,0.0505,0.767099,2.97073,8.27013,4.56974,-5.29939
0.5,0.065337,-12.0934,17.1107,-0.733655,0.051,0.770403,2.98459,8.2896,4.57135,-5.30501
0.5,0.065337,-12.1653,17.1167,-0.737659,0.0515,0.773659,2.99834,8.30898,4.57298,-5.31064
0.5,0.065337,-12.2368,17.1228,-0.741668,0.052,0.77687,3.012,8.32827,4.57461,-5.31628
0.5,0.065337,-12.308,17.129,-0.745682,0.0525,0.780035,3.02555,8.34748,4.57625,-5.32193
0.5,0.065337,-12.3788,17.1352,-0.749702,0.053,0.783155,3.039,8.3666,4.57791,-5.32761
0.5,0.065337,-12.4493,17.1414,-0.753727,0.0535,0.786231,3.05235,8.38564,4.57957,-5.33329
0.5,0.065337,-12.5195,17.1477,-0.757757,0.054,0.789263,3.0656,8.40459,4.58124,-5.33899
0.5,0.065337,-12.5894,17.1539,-0.761792,0.0545,0.792252,3.07876,8.42347,4.58292,-5.34471
0.5,0.065337,-12.6589,17.1603,-0.765833,0.055,0.795199,3.09182,8.44226,4.58461,-5.35044
0.5,0.065337,-12.7282,17.1666,-0.769879,0.0555,0.798103,3.10479,8.46097,4.58631,-5.35619
0.5,0.065337,-12.7971,17.173,-0.773929,0.056,0.800967,3.11766,8.4796,4.58802,-5.36194
0.5,0.065337,-12.8658,17.1794,-0.777985,0.0565,0.80379,3.13044,8.49816,4.58973,-5.36772
0.5,0.065337,-12.9342,17.1859,-0.782046,0.057,0.806573,3.14314,8.51664,4.59146,-5.37351
0.5,0.065337,-13.0023,17.1924,-0.786112,0.0575,0.809317,3.15574,8.53504,4.59319,-5.37931
0.5,0.065337,-13.0701,17.1989,-0.790183,0.058,0.812022,3.16825,8.55337,4.59494,-5.38512
0.5,0.065337,-13.1377,17.2055,-0.794259,0.0585,0.814688,3.18068,8.57163,4.59669,-5.39095
0.5,0.065337,-13.2049,17.2121,-0.79834,0.059,0.817316,3.19302,8.58981,4.59846,-5.3968
0.5,0.065337,-13.272,17.2187,-0.802426,0.0595,0.819908,3.20527,8.60793,4.60023,-5.40265
0.5,0.065337,-13.3388,17.2254,-0.806516,0.06,0.822462,3.21744,8.62597,4.60201,-5.40852
0.5,0.065337,-13.4053,17.2321,-0.810612,0.0605,0.82498,3.22953,8.64394,4.6038,-5.41441
0.5,0.065337,-13.4716,17.2388,-0.814712,0.061,0.827463,3.24153,8.66184,4.60559,-5.42031
0.5,0.065337,-13.5376,17.2456,-0.818816,0.0615,0.82991,3.25346,8.67967,4.6074,-5.42622
0.5,0.065337,-13.6034,17.2524,-0.822926,0.062,0.832323,3.2653,8.69744,4.60922,-5.43214
0.5,0.065337,-13.669,17.2592,-0.82704,0.0625,0.834701,3.27706,8.71514,4.61104,-5.43808
0.5,0.065337,-13.7344,17.2661,-0.831157,0.063,0.837046,3.28875,8.73278,4.61287,-5.44403
0.5,0.065337,-13.7995,17.273,-0.835282,0.0635,0.839357,3.30035,8.75035,4.61472,-5.45
0.5,0.065337,-13.8644,17.2799,-0.839409,0.064,0.841636,3.31188,8.76786,4.61657,-5.45598
0.5,0.065337,-13.9291,17.2868,-0.84354,0.0645,0.843882,3.32333,8.7853,4.61843,-5.46197
0.5,0.065337,-13.9936,17.2938,-0.847676,0.065,0.846096,3.33471,8.80268,4.62029,-5.46797
0.5,0.065337,-14.0579,17.3009,-0.851816,0.0655,0.848279,3.34601,8.82,4.62217,-5.47399
0.5,0.065337,-14.1219,17.3079,-0.855959,0.066,0.850431,3.35724,8.83726,4.62406,-5.48002
0.5,0.065337,-14.1858,17.315,-0.860107,0.0665,0.852553,3.3684,8.85445,4.62595,-5.48606
0.5,0.065337,-14.2494,17.3221,-0.864259,0.067,0.854644,3.37948,8.87159,4.62785,-5.49211
0.5,0.065337,-14.3129,17.3293,-0.868414,0.0675,0.856706,3.39049,8.88867,4.62976,-5.49818
0.5,0.065337,-14.3761,17.3365,-0.872574,0.068,0.858739,3.40143,8.90569,4.63168,-5.50426
0.5,0.065337,-14.4392,17.3437,-0.876737,0.0685,0.860742,3.41231,8.92265,4.63361,-5.51035
0.5,0.065337,-14.502,17.3509,-0.880903,0.069,0.862717,3.42311,8.93956,4.63555,-5.51645
0.5,0.065337,-14.5647,17.3582,-0.885073,0.0695,0.864665,3.43384,8.95641,4.63749,-5.52256
0.5,0.065337,-14.6272,17.3655,-0.889247,0.07,0.866584,3.44451,8.9732,4.63944,-5.52869
0.5,0.065337,-14.6895,17.3728,-0.893424,0.0705,0.868477,3.45511,8.98994,4.6414,-5.53483
0.5,0.065337,-14.7516,17.3802,-0.897604,0.071,0.870342,3.46565,9.00662,4.64337,-5.54098
0.5,0.065337,-14.8135,17.3876,-0.901787,0.0715,0.872181,3.47611,9.02325,4.64535,-5.54714
0.5,0.065337,-14.8752,17.3951,-0.905973,0.072,0.873994,3.48652,9.03983,4.64734,-5.55331
